,region,portion-continent,continent,hemisphere
68,Ethiopia,NaN,http://berkeleyearth.lbl.gov/regions/south-america,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
69,Falkland Is.,NaN,NaN,http://berkeleyearth.lbl.gov/regions/southern-hemisphere
70,Faeroe Is.,NaN,NaN,NaN
71,Micronesia,NaN,http://berkeleyearth.lbl.gov/regions/oceania,NaN
72,Fiji,NaN,http://berkeleyearth.lbl.gov/regions/europe,http://berkeleyearth.lbl.gov/regions/southern-hemisphere
73,Finland,NaN,NaN,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
74,France,NaN,http://berkeleyearth.lbl.gov/regions/europe,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
75,France,NaN,http://berkeleyearth.lbl.gov/regions/south-america,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
76,French Guiana,NaN,NaN,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
77,Fr. Polynesia,NaN,NaN,NaN
78,Fr. S. Antarctic Lands,NaN,http://berkeleyearth.lbl.gov/regions/africa,http://berkeleyearth.lbl.gov/regions/southern-hemisphere
79,Gabon,NaN,http://berkeleyearth.lbl.gov/regions/africa,NaN
80,Gambia,NaN,http://berkeleyearth.lbl.gov/regions/asia,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
81,Gaza Strip,NaN,http://berkeleyearth.lbl.gov/regions/asia,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
82,Georgia,NaN,http://berkeleyearth.lbl.gov/regions/europe,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
83,Germany,NaN,http://berkeleyearth.lbl.gov/regions/africa,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
84,Ghana,NaN,http://berkeleyearth.lbl.gov/regions/europe,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
85,Greece,NaN,http://berkeleyearth.lbl.gov/regions/north-america,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
86,Greenland,NaN,NaN,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
87,Grenada,NaN,http://berkeleyearth.lbl.gov/regions/north-america,NaN
88,Guadeloupe,NaN,NaN,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
89,Guam,NaN,http://berkeleyearth.lbl.gov/regions/north-america,NaN
90,Guatemala,http://berkeleyearth.lbl.gov/regions/central-america,http://berkeleyearth.lbl.gov/regions/europe,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
91,Guernsey,NaN,http://berkeleyearth.lbl.gov/regions/africa,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
92,Guinea,NaN,http://berkeleyearth.lbl.gov/regions/africa,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
93,Guinea-Bissau,NaN,http://berkeleyearth.lbl.gov/regions/south-america,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
94,Guyana,NaN,http://berkeleyearth.lbl.gov/regions/north-america,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
95,Haiti,NaN,NaN,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
96,Heard I. and McDonald Is.,NaN,http://berkeleyearth.lbl.gov/regions/north-america,NaN
97,Honduras,http://berkeleyearth.lbl.gov/regions/central-america,http://berkeleyearth.lbl.gov/regions/asia,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
98,Hong Kong,NaN,http://berkeleyearth.lbl.gov/regions/europe,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
99,Hungary,NaN,http://berkeleyearth.lbl.gov/regions/europe,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
100,Iceland,NaN,http://berkeleyearth.lbl.gov/regions/asia,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
