,Country,Link,Generalization
112,Laos,http://berkeleyearth.lbl.gov/regions/laos,"South-Eastern Asia, Asia, Northern Hemisphere, Global Land"
113,Latvia,http://berkeleyearth.lbl.gov/regions/latvia,"Europe, Northern Hemisphere, Global Land"
114,Lebanon,http://berkeleyearth.lbl.gov/regions/lebanon,"Asia, Northern Hemisphere, Global Land"
115,Lesotho,http://berkeleyearth.lbl.gov/regions/lesotho,"Southern Africa, Africa, Southern Hemisphere, Global Land"
116,Liberia,http://berkeleyearth.lbl.gov/regions/liberia,"Western Africa, Africa, Northern Hemisphere, Global Land"
117,Libya,http://berkeleyearth.lbl.gov/regions/libya,"Northern Africa, Africa, Northern Hemisphere, Global Land"
118,Liechtenstein,http://berkeleyearth.lbl.gov/regions/liechtenstein,"Europe, Northern Hemisphere, Global Land"
119,Lithuania,http://berkeleyearth.lbl.gov/regions/lithuania,"Europe, Northern Hemisphere, Global Land"
120,Luxembourg,http://berkeleyearth.lbl.gov/regions/luxembourg,"Europe, Northern Hemisphere, Global Land"
121,Macau,http://berkeleyearth.lbl.gov/regions/macau,"Eastern Asia, Asia, Northern Hemisphere, Global Land"
122,Macedonia,http://berkeleyearth.lbl.gov/regions/macedonia,"Europe, Northern Hemisphere, Global Land"
123,Madagascar,http://berkeleyearth.lbl.gov/regions/madagascar,"Eastern Africa, Africa, Southern Hemisphere, Global Land"
124,Malawi,http://berkeleyearth.lbl.gov/regions/malawi,"Eastern Africa, Africa, Southern Hemisphere, Global Land"
125,Malaysia,http://berkeleyearth.lbl.gov/regions/malaysia,"South-Eastern Asia, Asia, Northern Hemisphere, Global Land"
126,Mali,http://berkeleyearth.lbl.gov/regions/mali,"Western Africa, Africa, Northern Hemisphere, Global Land"
127,Malta,http://berkeleyearth.lbl.gov/regions/malta,Global Land
128,Martinique,http://berkeleyearth.lbl.gov/regions/martinique,"Caribbean, North America, Northern Hemisphere, Global Land"
129,Mauritania,http://berkeleyearth.lbl.gov/regions/mauritania,"Western Africa, Africa, Northern Hemisphere, Global Land"
130,Mauritius,http://berkeleyearth.lbl.gov/regions/mauritius,"Eastern Africa, Africa, Southern Hemisphere, Global Land"
131,Mayotte,http://berkeleyearth.lbl.gov/regions/mayotte,Global Land
132,Mexico,http://berkeleyearth.lbl.gov/regions/mexico,"Central America, North America, Northern Hemisphere, Global Land"
133,Moldova,http://berkeleyearth.lbl.gov/regions/moldova,"Europe, Northern Hemisphere, Global Land"
134,Monaco,http://berkeleyearth.lbl.gov/regions/monaco,"Europe, Northern Hemisphere, Global Land"
135,Mongolia,http://berkeleyearth.lbl.gov/regions/mongolia,"Eastern Asia, Asia, Northern Hemisphere, Global Land"
136,Montenegro,http://berkeleyearth.lbl.gov/regions/montenegro,"Europe, Northern Hemisphere, Global Land"
137,Montserrat,http://berkeleyearth.lbl.gov/regions/montserrat,Global Land
138,Morocco,http://berkeleyearth.lbl.gov/regions/morocco,"Northern Africa, Africa, Northern Hemisphere, Global Land"
139,Mozambique,http://berkeleyearth.lbl.gov/regions/mozambique,"Eastern Africa, Africa, Southern Hemisphere, Global Land"
140,Namibia,http://berkeleyearth.lbl.gov/regions/namibia,"Southern Africa, Africa, Southern Hemisphere, Global Land"
141,Nepal,http://berkeleyearth.lbl.gov/regions/nepal,"Southern Asia, Asia, Northern Hemisphere, Global Land"
142,Netherlands (Europe),http://berkeleyearth.lbl.gov/regions/netherlands-(europe),"Europe, Northern Hemisphere, Global Land"
143,New Caledonia,http://berkeleyearth.lbl.gov/regions/new-caledonia,"Melanesia, Oceania, Southern Hemisphere, Global Land"
144,New Zealand,http://berkeleyearth.lbl.gov/regions/new-zealand,"Oceania, Southern Hemisphere, Global Land"
145,Nicaragua,http://berkeleyearth.lbl.gov/regions/nicaragua,"Central America, North America, Northern Hemisphere, Global Land"
146,Niger,http://berkeleyearth.lbl.gov/regions/niger,"Western Africa, Africa, Northern Hemisphere, Global Land"
147,Nigeria,http://berkeleyearth.lbl.gov/regions/nigeria,"Western Africa, Africa, Northern Hemisphere, Global Land"
148,Niue,http://berkeleyearth.lbl.gov/regions/niue,Global Land
149,North Korea,http://berkeleyearth.lbl.gov/regions/north-korea,"Eastern Asia, Asia, Northern Hemisphere, Global Land"
150,Northern Mariana Islands,http://berkeleyearth.lbl.gov/regions/northern-mariana-islands,Global Land
151,Norway,http://berkeleyearth.lbl.gov/regions/norway,"Europe, Northern Hemisphere, Global Land"
152,Oman,http://berkeleyearth.lbl.gov/regions/oman,"Asia, Northern Hemisphere, Global Land"
153,Pakistan,http://berkeleyearth.lbl.gov/regions/pakistan,"Southern Asia, Asia, Northern Hemisphere, Global Land"
154,Palau,http://berkeleyearth.lbl.gov/regions/palau,Global Land
155,Palestina,http://berkeleyearth.lbl.gov/regions/palestina,Global Land
156,Panama,http://berkeleyearth.lbl.gov/regions/panama,"Central America, North America, Northern Hemisphere, Global Land"
157,Papua New Guinea,http://berkeleyearth.lbl.gov/regions/papua-new-guinea,"Melanesia, Oceania, Southern Hemisphere, Global Land"
158,Paraguay,http://berkeleyearth.lbl.gov/regions/paraguay,"South America, Southern Hemisphere, Global Land"
159,Peru,http://berkeleyearth.lbl.gov/regions/peru,"South America, Southern Hemisphere, Global Land"
160,Philippines,http://berkeleyearth.lbl.gov/regions/philippines,"South-Eastern Asia, Asia, Northern Hemisphere, Global Land"
161,Poland,http://berkeleyearth.lbl.gov/regions/poland,"Europe, Northern Hemisphere, Global Land"
162,Portugal,http://berkeleyearth.lbl.gov/regions/portugal,"Europe, Northern Hemisphere, Global Land"
163,Puerto Rico,http://berkeleyearth.lbl.gov/regions/puerto-rico,"Caribbean, North America, Northern Hemisphere, Global Land"
